id,pid,count
37078,"doi:10.25346/S6/CXO9PD/8V6P7D",17
34612,"doi:10.25346/S6/CXO9PD/KPVOWU",17
34567,"doi:10.25346/S6/CXO9PD/NOZM3P",17
34607,"doi:10.25346/S6/CXO9PD/GO6K4Z",17
36129,"doi:10.25346/S6/CXO9PD/YFJTXK",17
34660,"doi:10.25346/S6/CXO9PD/QTRVQB",17
35356,"doi:10.25346/S6/CXO9PD/MIKZFI",17
34230,"doi:10.25346/S6/CXO9PD/XHRQNI",17
36130,"doi:10.25346/S6/CXO9PD/91WD33",17
36131,"doi:10.25346/S6/CXO9PD/WEEPV5",17
34718,"doi:10.25346/S6/CXO9PD/WL0BVM",17
35938,"doi:10.25346/S6/CXO9PD/THFNVN",17
35823,"doi:10.25346/S6/CXO9PD/LLNUUP",17
35727,"doi:10.25346/S6/CXO9PD/163GGZ",17
34222,"doi:10.25346/S6/CXO9PD/9KGLRJ",17
34216,"doi:10.25346/S6/CXO9PD/Z4ENFM",17
34214,"doi:10.25346/S6/CXO9PD/ZBARJE",17
36136,"doi:10.25346/S6/CXO9PD/USKPRG",17
34213,"doi:10.25346/S6/CXO9PD/2GX3VQ",17
34209,"doi:10.25346/S6/CXO9PD/3WEZ9T",17
35358,"doi:10.25346/S6/CXO9PD/MQLORN",17
34885,"doi:10.25346/S6/CXO9PD/XJJADU",17
35430,"doi:10.25346/S6/CXO9PD/WELJFD",17
35638,"doi:10.25346/S6/CXO9PD/AQDPZN",17
34194,"doi:10.25346/S6/CXO9PD/L7ZOKC",17
34173,"doi:10.25346/S6/CXO9PD/RR8RNA",17
34663,"doi:10.25346/S6/CXO9PD/DQC4ZF",17
34891,"doi:10.25346/S6/CXO9PD/EZA77H",17
34892,"doi:10.25346/S6/CXO9PD/RXTLR7",17
35365,"doi:10.25346/S6/CXO9PD/36FG0N",17
34496,"doi:10.25346/S6/CXO9PD/3LNACT",17
35724,"doi:10.25346/S6/CXO9PD/AV7TG0",17
35668,"doi:10.25346/S6/CXO9PD/N3W7JF",17
36045,"doi:10.25346/S6/CXO9PD/HTGLAS",17
34139,"doi:10.25346/S6/CXO9PD/ZP5HEW",17
35875,"doi:10.25346/S6/CXO9PD/VFCHKA",17
35687,"doi:10.25346/S6/CXO9PD/BCXR4C",17
34137,"doi:10.25346/S6/CXO9PD/SDJO0H",17
34133,"doi:10.25346/S6/CXO9PD/0LGA1N",17
34125,"doi:10.25346/S6/CXO9PD/576DUQ",17
35818,"doi:10.25346/S6/CXO9PD/DFTRZT",17
34113,"doi:10.25346/S6/CXO9PD/WJN6TD",17
34908,"doi:10.25346/S6/CXO9PD/GJOYYD",17
35833,"doi:10.25346/S6/CXO9PD/TVN3NS",17
34110,"doi:10.25346/S6/CXO9PD/QDVYYA",17
35988,"doi:10.25346/S6/CXO9PD/W7IIL1",17
34109,"doi:10.25346/S6/CXO9PD/CEXGWP",17
34106,"doi:10.25346/S6/CXO9PD/4JIHLG",17
35367,"doi:10.25346/S6/CXO9PD/QEZJF3",17
34104,"doi:10.25346/S6/CXO9PD/UUH9BR",17
35877,"doi:10.25346/S6/CXO9PD/DQUQGN",17
34731,"doi:10.25346/S6/CXO9PD/LRSFJ9",17
34484,"doi:10.25346/S6/CXO9PD/WA9ECD",17
36150,"doi:10.25346/S6/CXO9PD/9SQJ1N",17
34475,"doi:10.25346/S6/CXO9PD/A5BUWH",17
35741,"doi:10.25346/S6/CXO9PD/MPTSJC",17
35765,"doi:10.25346/S6/CXO9PD/HJTF3A",17
34924,"doi:10.25346/S6/CXO9PD/XAKRWJ",17
34099,"doi:10.25346/S6/CXO9PD/S4KY5O",17
34096,"doi:10.25346/S6/CXO9PD/VWXUQ0",17
34092,"doi:10.25346/S6/CXO9PD/6L48X2",17
34072,"doi:10.25346/S6/CXO9PD/JM0E7H",17
36070,"doi:10.25346/S6/CXO9PD/L5LGMD",17
35880,"doi:10.25346/S6/CXO9PD/BXP6PK",17
34632,"doi:10.25346/S6/CXO9PD/3RGXUN",17
35441,"doi:10.25346/S6/CXO9PD/SJ5DKJ",17
34737,"doi:10.25346/S6/CXO9PD/PYVXWD",17
34935,"doi:10.25346/S6/CXO9PD/BUME4M",17
34466,"doi:10.25346/S6/CXO9PD/R3MK30",17
35442,"doi:10.25346/S6/CXO9PD/OOBCJU",17
35468,"doi:10.25346/S6/CXO9PD/AGWNDB",17
36159,"doi:10.25346/S6/CXO9PD/VOSCCQ",17
35369,"doi:10.25346/S6/CXO9PD/VDFELL",17
35473,"doi:10.25346/S6/CXO9PD/XSRG5U",17
35474,"doi:10.25346/S6/CXO9PD/W7EF11",17
35740,"doi:10.25346/S6/CXO9PD/NQBWYX",17
34446,"doi:10.25346/S6/CXO9PD/BW9TD5",17
36009,"doi:10.25346/S6/CXO9PD/LE7H3B",17
36162,"doi:10.25346/S6/CXO9PD/KRQTEC",17
36163,"doi:10.25346/S6/CXO9PD/V2TZK9",17
35810,"doi:10.25346/S6/CXO9PD/AF8LGJ",17
34429,"doi:10.25346/S6/CXO9PD/ULQTDO",17
35340,"doi:10.25346/S6/CXO9PD/BVGYSQ",17
35348,"doi:10.25346/S6/CXO9PD/FC5F4J",17
35318,"doi:10.25346/S6/CXO9PD/EQVIR3",17
35315,"doi:10.25346/S6/CXO9PD/0IRCUI",17
35313,"doi:10.25346/S6/CXO9PD/EO4VR2",17
35311,"doi:10.25346/S6/CXO9PD/JWJYMH",17
34956,"doi:10.25346/S6/CXO9PD/WHWVYD",17
35850,"doi:10.25346/S6/CXO9PD/8A4LYN",17
34958,"doi:10.25346/S6/CXO9PD/H1XBE6",17
34428,"doi:10.25346/S6/CXO9PD/VA1BBX",17
35310,"doi:10.25346/S6/CXO9PD/LPS2MA",17
35974,"doi:10.25346/S6/CXO9PD/W7I3XT",17
35309,"doi:10.25346/S6/CXO9PD/5YL60C",17
35302,"doi:10.25346/S6/CXO9PD/JUUVR6",17
35371,"doi:10.25346/S6/CXO9PD/1VGND6",17
34419,"doi:10.25346/S6/CXO9PD/CF53NY",17
35284,"doi:10.25346/S6/CXO9PD/KSUS08",17
35265,"doi:10.25346/S6/CXO9PD/J3WRGI",17
35247,"doi:10.25346/S6/CXO9PD/3ZLFRN",17
35542,"doi:10.25346/S6/CXO9PD/4XN5OM",17
35657,"doi:10.25346/S6/CXO9PD/ZOPVJ0",17
35235,"doi:10.25346/S6/CXO9PD/XNGFLD",17
35656,"doi:10.25346/S6/CXO9PD/EGRCY2",17
34415,"doi:10.25346/S6/CXO9PD/RRPYBZ",17
35233,"doi:10.25346/S6/CXO9PD/KFJWGZ",17
35755,"doi:10.25346/S6/CXO9PD/6PZDTD",17
36175,"doi:10.25346/S6/CXO9PD/WSJALG",17
34980,"doi:10.25346/S6/CXO9PD/PR58IN",17
36080,"doi:10.25346/S6/CXO9PD/TNGRXG",17
35891,"doi:10.25346/S6/CXO9PD/AKIRKI",17
34986,"doi:10.25346/S6/CXO9PD/3KGEYN",17
35700,"doi:10.25346/S6/CXO9PD/2KGG5H",17
35217,"doi:10.25346/S6/CXO9PD/1TSHGS",17
34396,"doi:10.25346/S6/CXO9PD/NTNXRV",17
35375,"doi:10.25346/S6/CXO9PD/OJ7ZEC",17
36184,"doi:10.25346/S6/CXO9PD/BLRE5G",17
35211,"doi:10.25346/S6/CXO9PD/90E7AB",17
34634,"doi:10.25346/S6/CXO9PD/HYJ4EA",16
34636,"doi:10.25346/S6/CXO9PD/FX3BKD",16
36033,"doi:10.25346/S6/CXO9PD/UL6GPY",16
36034,"doi:10.25346/S6/CXO9PD/1MODW6",16
34645,"doi:10.25346/S6/CXO9PD/BGLZK5",16
34651,"doi:10.25346/S6/CXO9PD/RX84EN",16
36039,"doi:10.25346/S6/CXO9PD/LQSXBL",16
35836,"doi:10.25346/S6/CXO9PD/NY4DQ6",16
34659,"doi:10.25346/S6/CXO9PD/1ZGILF",16
36046,"doi:10.25346/S6/CXO9PD/ILLN8I",16
36047,"doi:10.25346/S6/CXO9PD/JBQNMH",16
35839,"doi:10.25346/S6/CXO9PD/MFIICD",16
36055,"doi:10.25346/S6/CXO9PD/UXM3LF",16
34695,"doi:10.25346/S6/CXO9PD/1RIPKS",16
34697,"doi:10.25346/S6/CXO9PD/F0XG8M",16
34699,"doi:10.25346/S6/CXO9PD/8OQLLS",16
35752,"doi:10.25346/S6/CXO9PD/SQVPKF",16
34702,"doi:10.25346/S6/CXO9PD/SOEUGZ",16
34703,"doi:10.25346/S6/CXO9PD/4G7CD2",16
36063,"doi:10.25346/S6/CXO9PD/HS3ANA",16
34707,"doi:10.25346/S6/CXO9PD/4QTIKJ",16
34708,"doi:10.25346/S6/CXO9PD/AJGEYY",16
34711,"doi:10.25346/S6/CXO9PD/BF01SH",16
34712,"doi:10.25346/S6/CXO9PD/U7LWLI",16
34713,"doi:10.25346/S6/CXO9PD/LYSHIG",16
36064,"doi:10.25346/S6/CXO9PD/MKHB5W",16
35655,"doi:10.25346/S6/CXO9PD/BPPRG1",16
34720,"doi:10.25346/S6/CXO9PD/YPYL5M",16
35845,"doi:10.25346/S6/CXO9PD/CPH12A",16
35846,"doi:10.25346/S6/CXO9PD/WG7EHK",16
34725,"doi:10.25346/S6/CXO9PD/YJPWE5",16
34728,"doi:10.25346/S6/CXO9PD/J7M5JK",16
34730,"doi:10.25346/S6/CXO9PD/FMWDZK",16
35847,"doi:10.25346/S6/CXO9PD/925LTY",16
34739,"doi:10.25346/S6/CXO9PD/YWFAMC",16
36075,"doi:10.25346/S6/CXO9PD/FMSIFJ",16
35707,"doi:10.25346/S6/CXO9PD/HIJQOK",16
36082,"doi:10.25346/S6/CXO9PD/NHQZ28",16
34757,"doi:10.25346/S6/CXO9PD/WYYUTM",16
34758,"doi:10.25346/S6/CXO9PD/C0AUTI",16
34762,"doi:10.25346/S6/CXO9PD/JCCKXU",16
34764,"doi:10.25346/S6/CXO9PD/YQVBG3",16
34765,"doi:10.25346/S6/CXO9PD/DO8UJY",16
34767,"doi:10.25346/S6/CXO9PD/RDUTOP",16
36094,"doi:10.25346/S6/CXO9PD/DGOCB5",16
36096,"doi:10.25346/S6/CXO9PD/NAIJDR",16
34790,"doi:10.25346/S6/CXO9PD/4WI7MU",16
36101,"doi:10.25346/S6/CXO9PD/6GN1YR",16
34796,"doi:10.25346/S6/CXO9PD/F8JU31",16
34798,"doi:10.25346/S6/CXO9PD/P9NPCO",16
35863,"doi:10.25346/S6/CXO9PD/XXO9CF",16
36105,"doi:10.25346/S6/CXO9PD/ENZPBB",16
36107,"doi:10.25346/S6/CXO9PD/WGZJPF",16
35864,"doi:10.25346/S6/CXO9PD/7143EH",16
34806,"doi:10.25346/S6/CXO9PD/F0IIDE",16
36111,"doi:10.25346/S6/CXO9PD/SONRFG",16
36112,"doi:10.25346/S6/CXO9PD/WJYTYD",16
36115,"doi:10.25346/S6/CXO9PD/RBTI4L",16
34820,"doi:10.25346/S6/CXO9PD/RKLXZB",16
34823,"doi:10.25346/S6/CXO9PD/LK2YTV",16
34824,"doi:10.25346/S6/CXO9PD/RQNDKJ",16
34827,"doi:10.25346/S6/CXO9PD/JUPNW2",16
36118,"doi:10.25346/S6/CXO9PD/OAZMKN",16
36119,"doi:10.25346/S6/CXO9PD/OS0BTL",16
34830,"doi:10.25346/S6/CXO9PD/BXQOTT",16
36120,"doi:10.25346/S6/CXO9PD/VZOJKH",16
34836,"doi:10.25346/S6/CXO9PD/1VXOT6",16
35352,"doi:10.25346/S6/CXO9PD/VNVMDO",16
34838,"doi:10.25346/S6/CXO9PD/KEA53C",16
34840,"doi:10.25346/S6/CXO9PD/I4HHEH",16
34852,"doi:10.25346/S6/CXO9PD/1RWOHG",16
35870,"doi:10.25346/S6/CXO9PD/OG8RGI",16
34859,"doi:10.25346/S6/CXO9PD/A3KMUG",16
34860,"doi:10.25346/S6/CXO9PD/3VMP7U",16
34861,"doi:10.25346/S6/CXO9PD/YOHDYJ",16
35351,"doi:10.25346/S6/CXO9PD/SJELG4",16
34863,"doi:10.25346/S6/CXO9PD/CO9CPM",16
34864,"doi:10.25346/S6/CXO9PD/D0EMZR",16
35762,"doi:10.25346/S6/CXO9PD/ITKSAY",16
34867,"doi:10.25346/S6/CXO9PD/CQKFTY",16
34868,"doi:10.25346/S6/CXO9PD/1N8MG6",16
36132,"doi:10.25346/S6/CXO9PD/LC4LES",16
36133,"doi:10.25346/S6/CXO9PD/GOWLDE",16
36134,"doi:10.25346/S6/CXO9PD/22ZANL",16
34876,"doi:10.25346/S6/CXO9PD/UVSRRT",16
34884,"doi:10.25346/S6/CXO9PD/B1QINH",16
35763,"doi:10.25346/S6/CXO9PD/OHU0O2",16
34890,"doi:10.25346/S6/CXO9PD/P3FZXE",16
34893,"doi:10.25346/S6/CXO9PD/NYD2OK",16
35654,"doi:10.25346/S6/CXO9PD/QU6HIL",16
34897,"doi:10.25346/S6/CXO9PD/WNEQXC",16
35711,"doi:10.25346/S6/CXO9PD/BXF0Z9",16
34905,"doi:10.25346/S6/CXO9PD/QIWOSP",16
34909,"doi:10.25346/S6/CXO9PD/LXJAYI",16
34911,"doi:10.25346/S6/CXO9PD/9QR6DU",16
34914,"doi:10.25346/S6/CXO9PD/ICLMDF",16
36149,"doi:10.25346/S6/CXO9PD/GEEP0B",16
36151,"doi:10.25346/S6/CXO9PD/VWIVXD",16
34921,"doi:10.25346/S6/CXO9PD/3JS1NS",16
34922,"doi:10.25346/S6/CXO9PD/U5CUPQ",16
36154,"doi:10.25346/S6/CXO9PD/OO4HUE",16
34932,"doi:10.25346/S6/CXO9PD/FQQWX8",16
36157,"doi:10.25346/S6/CXO9PD/GDWMNI",16
34936,"doi:10.25346/S6/CXO9PD/IHOJZK",16
34940,"doi:10.25346/S6/CXO9PD/URHGH5",16
34943,"doi:10.25346/S6/CXO9PD/ZOPO2Z",16
35883,"doi:10.25346/S6/CXO9PD/YGSMCP",16
34945,"doi:10.25346/S6/CXO9PD/EULUIK",16
36164,"doi:10.25346/S6/CXO9PD/CDHXMK",16
36165,"doi:10.25346/S6/CXO9PD/SM1BKC",16
34957,"doi:10.25346/S6/CXO9PD/UKOMMK",16
34959,"doi:10.25346/S6/CXO9PD/1DQAFH",16
34961,"doi:10.25346/S6/CXO9PD/SDQPSS",16
34964,"doi:10.25346/S6/CXO9PD/13R6OZ",16
36169,"doi:10.25346/S6/CXO9PD/SHQBZJ",16
34973,"doi:10.25346/S6/CXO9PD/G7PKJS",16
35712,"doi:10.25346/S6/CXO9PD/F4MFUC",16
34983,"doi:10.25346/S6/CXO9PD/4MUIIL",16
36180,"doi:10.25346/S6/CXO9PD/0O97TN",16
34989,"doi:10.25346/S6/CXO9PD/VIYGU6",16
36183,"doi:10.25346/S6/CXO9PD/D2KJ89",16
34996,"doi:10.25346/S6/CXO9PD/Z1TUWO",16
34998,"doi:10.25346/S6/CXO9PD/TNAGSG",16
35000,"doi:10.25346/S6/CXO9PD/4PMYJN",16
35006,"doi:10.25346/S6/CXO9PD/QJ1QQM",16
35894,"doi:10.25346/S6/CXO9PD/BKDBK2",16
36192,"doi:10.25346/S6/CXO9PD/ZXFCUQ",16
36193,"doi:10.25346/S6/CXO9PD/GUQXKJ",16
35012,"doi:10.25346/S6/CXO9PD/T9AZTH",16
36195,"doi:10.25346/S6/CXO9PD/PUOJGO",16
36197,"doi:10.25346/S6/CXO9PD/VVUEJ2",16
35027,"doi:10.25346/S6/CXO9PD/FV16VH",16
35028,"doi:10.25346/S6/CXO9PD/0M6Z0I",16
35032,"doi:10.25346/S6/CXO9PD/CK62ED",16
36202,"doi:10.25346/S6/CXO9PD/IVCUL6",16
36203,"doi:10.25346/S6/CXO9PD/N7GXU5",16
35040,"doi:10.25346/S6/CXO9PD/LSJMAG",16
35048,"doi:10.25346/S6/CXO9PD/DZAKWJ",16
36207,"doi:10.25346/S6/CXO9PD/T9K0IR",16
35057,"doi:10.25346/S6/CXO9PD/WRNH7F",16
36208,"doi:10.25346/S6/CXO9PD/PWYCWJ",16
36209,"doi:10.25346/S6/CXO9PD/RX746T",16
35060,"doi:10.25346/S6/CXO9PD/OFI8UG",16
36210,"doi:10.25346/S6/CXO9PD/DW00VO",16
35066,"doi:10.25346/S6/CXO9PD/FYQNXY",16
35068,"doi:10.25346/S6/CXO9PD/NPJZZS",16
35899,"doi:10.25346/S6/CXO9PD/PYGZA8",16
36213,"doi:10.25346/S6/CXO9PD/WALEPT",16
36215,"doi:10.25346/S6/CXO9PD/FUWMGF",16
35074,"doi:10.25346/S6/CXO9PD/H11FRE",16
35075,"doi:10.25346/S6/CXO9PD/GBHICR",16
35076,"doi:10.25346/S6/CXO9PD/NQSTRX",16
35901,"doi:10.25346/S6/CXO9PD/INCTSP",16
36219,"doi:10.25346/S6/CXO9PD/CEWKPF",16
35085,"doi:10.25346/S6/CXO9PD/CGFFDG",16
35609,"doi:10.25346/S6/CXO9PD/P0KNAU",16
35090,"doi:10.25346/S6/CXO9PD/UOGWJ2",16
35603,"doi:10.25346/S6/CXO9PD/WZOWB0",16
35094,"doi:10.25346/S6/CXO9PD/FPJ4VM",16
35095,"doi:10.25346/S6/CXO9PD/DPKG3T",16
35601,"doi:10.25346/S6/CXO9PD/AAGZMO",16
35103,"doi:10.25346/S6/CXO9PD/W6NJRN",16
